property_id,property_name,city,state,site_review_count,site_review_rating
HTLGBO1000071220,Arvind Niwas,Malwan,Maharashtra,,
HTLGBO1000006973,Balaji Residency,Chennai,Tamil Nadu,50,3.4
HTLGBO1000063092,Aryan Hotel,Lucknow,Uttar Pradesh,9,2.7
HTLGBO1000064302,Bens Houseboats 2 Bed Room A/c DLX (2),Alleppey,Kerala,,
HTLGBO1000009872,Best Western Plus O2,Indore,Madhya Pradesh,417,4.5
HTLGBO1000022480,Aspni Inn,Chennai,Tamil Nadu,47,3.3
HTLGBO1000004161,"Anuraga Palace, Treehouse Palace Hotel",Sawai Madhopur,Rajasthan,76,4.5
HTLGBO1000030574,ASHTAMI RESORT,Wayanad,Kerala,1,4
HTLGBO1000057840,Azure Guest House,Varanasi,Uttar Pradesh,,
HTLGBO1000050348,Arul Nakshatra Service Apartment,Coimbatore,Tamil Nadu,,
HTLGBO1000026402,BAVA LODGE,Chennai,Tamil Nadu,,
HTLGBO1000000230,Avasa Hotel,Hyderabad,Andhra Pradesh,124,4.5
HTLGBO1000061038,"Arista Service Apartments,Andheri",Mumbai,Maharashtra,,
HTLGBO1000009327,Chit Chat Palace,Jaipur,Rajasthan,7,3.9
HTLGBO1000040694,Calangute Alcove Luxury Apartment,Goa,Goa,2,3.5
HTLGBO1000053570,Chalukya Deluxe,Kolhapur,Maharashtra,,
HTLGBO1000064676,Brisa Do Mar,Goa,Goa,2,4.8
HTLGBO1000005248,Blooms 1,Gurgaon,Haryana,33,3.8
HTLGBO1000049630,Bokhim Village Resort,Aritar,Sikkim,,
HTLGBO1000067002,Brindavan Lodge,Dharwad,Karnataka,,
HTLGBO1000032340,Brahma Inn Executive Rooms,Bangalore,Karnataka,44,4.3
HTLGBO1000014976,Blue Lemon Apartment Hotel,Bhiwadi,Rajasthan,21,4.8
HTLGBO1000066246,CHANDIPUR HOTEL,Baleshwar,Orissa,,
HTLGBO1000075112,Breeze Inn Bungalow,Mahabaleshwar,Maharashtra,,
HTLGBO1000046348,Bluebell Hospitality Services,Pune,Maharashtra,1,5
HTLGBO1000060782,Bharat Guest House,Ghaziabad,Uttar Pradesh,,
HTLGBO1000066014,"Camp Oak View, Bir",Baijnath,Himachal Pradesh,,
HTLGBO1000009844,Callista Inn Golf Course Road,Gurgaon,Haryana,8,3.7
HTLGBO1000083398,Chalet Diamond Penthouse,Bangalore,Karnataka,,
HTLGBO1000007136,Chennai Stays (Guindy),Chennai,Tamil Nadu,29,3.6
HTLGBO1000009631,BRYS Fort,Jaisalmer,Rajasthan,16,4.6
HTLGBO1000091462,Citi Hotel &amp; Suites Jharsa,Gurgaon,Haryana,,
HTLGBO1000000204,Chokhi Dhani - The Palace Hotel,Jaisalmer,Rajasthan,24,3.9
HTLGBO1000060584,Chadda Guest House,Shahtalai,Himachal Pradesh,,
HTLGBO1000038440,Castle  View Jaisalmer,Jaisalmer,Rajasthan,14,3.8
HTLGBO1000045404,Central Gate,Chennai,Tamil Nadu,10,3
HTLGBO1000059630,Blue Moon Guest House,Guwahati,Assam,2,3
HTLGBO1000001162,Camp Chrysalid Sitlakhet (16km From Almora),Almora,Uttarakhand,,
HTLGBO1000010383,Chandelao Garh (Heritage Hotel),Jodhpur,Rajasthan,5,4.7
HTLGBO1000015180,Cabo Cabana Wooden Cottages,Goa,Goa,13,4.5
HTLGBO1000006561,Bhawna Clarks Inn,Agra,Uttar Pradesh,164,4.1
HTLGBO1000060472,Chhabra Guest House,Jalandhar,Punjab,,
HTLGBO1000004340,Black Beach Resort,Varkala,Kerala,13,3.1
HTLGBO1000050498,Bharati Lodge,Hubli,Karnataka,11,3.7
HTLGBO1000051208,Camp Sparrow,Nainital,Uttarakhand,3,4.7
HTLGBO1000053492,CHIKKOS NEST HOMESTAY,Coorg,Karnataka,,
HTLGBO1000061048,Camp Jayshee,Chail,Himachal Pradesh,,
HTLGBO1000080682,Braganza Guest House,Goa,Goa,5,4.7
HTLGBO1000034388,Bulande Hope farm Bangalore,Bangalore,Karnataka,3,5
HTLGBO1000072006,Bhima's Paradise,Chikhaldara,Maharashtra,,
HTLGBO1000065536,Camp Mehi Tents,Nainital,Uttarakhand,,
HTLGBO1000059388,Bhatia Villa 5,Panchgani,Maharashtra,,
HTLGBO1000073206,Chowkidinghee Heritage Chang Bungalow,Dibrugarh,Assam,,
HTLGBO1000083360,BKS Guest House,Gurgaon,Haryana,1,5
HTLGBO1000001163,Cauvery Sannidhi,Mysore,Karnataka,16,4.6
HTLGBO1000082308,Casa Del Fauno,Munnar,Kerala,,
HTLGBO1000027528,Central Ninamma  Boutique Resort,Gangtok,Sikkim,20,4.5
HTLGBO1000000203,Chokhi Dhani - An Ethnic Village Resort,Jaipur,Rajasthan,104,4.3
HTLGBO1000060992,Camp O Royale,Dhanaulti,Uttarakhand,,
HTLGBO1000013803,Brindhavan Dream House,Yercaud,Tamil Nadu,1,4.6
HTLGBO1000004101,Blue Bird Resort,Havelock Island,Andaman and Nicobar Islands,69,4.6
HTLGBO1000006467,Celesta,Kolkata,West Bengal,216,4.3
HTLGBO1000013801,Chethans inn  serviced apartments,Tirupati,Andhra Pradesh,3,2.9
HTLGBO1000036218,Calangute Annexe,Goa,Goa,7,3.4
HTLGBO1000065544,Camp Mehi Cottages,Nainital,Uttarakhand,,
HTLGBO1000054742,CARAMEL HOMESTAY,Bangalore,Karnataka,,
HTLGBO1000069686,Blue Dawn Suites Service Appartment,Hyderabad,Andhra Pradesh,,
HTLGBO1000000455,Casa Anjuna-Boutique Resort,Goa,Goa,2,5
HTLGBO1000014016,Calista Resort,Delhi,Delhi,218,4.2
HTLGBO1000051904,Boopathy Lodge,Kanyakumari,Tamil Nadu,1,3
HTLGBO1000065878,Buxar Hotel,Buxar,Bihar,,
HTLGBO1000039706,Chief Guest House,Aizawl,Mizoram,,
HTLGBO1000066070,Bhimtal Holiday Villa,Nainital,Uttarakhand,,
HTLGBO1000005775,Chilipili Estate Stay,Coorg,Karnataka,8,4.5
HTLGBO1000006489,Capitol Hills Hotel,Delhi,Delhi,36,3.8
HTLGBO1000001160,Camp Chrysalid Dharamshala,Dharmsala,Himachal Pradesh,,
HTLGBO1000048138,Castle Service Apartment - Goregaon,Mumbai,Maharashtra,1,1
HTLGBO1000006269,Chandana Annexe,Marayoor,Kerala,20,2.7
HTLGBO1000012609,carlin  service apartments,Bangalore,Karnataka,5,4.3
HTLGBO1000057018,BHIDE HOMESTAY,Chikmagalur,Karnataka,,
HTLGBO1000068358,BORAH'S HOME STAY,Golaghat,Assam,,
HTLGBO1000059044,Choice Rooms,Alleppey,Kerala,2,3
HTLGBO1000001632,Bizz Tamanna Hotel,Pune,Maharashtra,12,3.6
HTLGBO1000055042,Blue Star Hotel,Gangtok,Sikkim,,
HTLGBO1000063950,CCC PepperMint,Hosur,Tamil Nadu,,
HTLGBO1000005823,Chandana Residency,Bundi,Rajasthan,,
HTLGBO1000089230,Bougainvillea,Alibag,Maharashtra,1,5
HTLGBO1000086510,BrijRama Palace. A Heritage Hotel,Varanasi,Uttar Pradesh,,
HTLGBO1000078574,Chandana Deluxe Hotel,Bangalore,Karnataka,,
HTLGBO1000042152,Blue Sky Group of houseboats,Srinagar,Jammu and Kashmir,,
HTLGBO1000007056,BWDA Resort,Courtalam,Tamil Nadu,1,1
HTLGBO1000002201,"Cambay Sapphire , Gandhinagar",Gandhinagar,Gujarat,47,3.2
HTLGBO1000062480,Central Royale,Yamunanagar,Haryana,4,2.5
HTLGBO1000078582,Chandrama Hotel,Puri,Orissa,,
HTLGBO1000037972,Casa De Damao.,Daman,Gujarat,8,2.9
HTLGBO1000017778,Chai Guesthouse Munnar,Munnar,Kerala,4,4.3
HTLGBO1000007897,Brij Dham Guest House,Mathura,Uttar Pradesh,46,2.5
HTLGBO1000026260,Casa Clarks INN,Mysore,Karnataka,7,4.3
HTLGBO1000048136,Castle Service Apartment - Malad (W),Mumbai,Maharashtra,,
HTLGBO1000034814,Birds Valley Resorts,Munnar,Kerala,5,4.4
HTLGBO1000055116,Bon Habi Resort,Kaziranga,Assam,,
HTLGBO1000041186,Chakri Guest House,Visakhapatnam,Andhra Pradesh,4,3.8
HTLGBO1000008708,Bheemeshwari nature &amp; adventure camp by Jungle Lodges,Mandya,Karnataka,,
HTLGBO1000077302,Bliss Home Stay,Agra,Uttar Pradesh,,
HTLGBO1000005304,Calangute Residency,Goa,Goa,101,4.6
HTLGBO1000007783,"Chinar Villa, Nr.Fatehsagar Lake",Udaipur,Rajasthan,17,4.4
HTLGBO1000006487,Bijans Nature Resort,Thekkady,Kerala,7,3
HTLGBO1000078686,Blender Berry,Coorg,Karnataka,,
HTLGBO1000079342,Bishnu Palace,Jharsuguda,Orissa,,
HTLGBO1000079026,chandra residency,Chittoor,Andhra Pradesh,,
HTLGBO1000052020,Bon Farmhouse,Kewzing,Sikkim,,
HTLGBO1000012043,Blossoms Garden,Coonoor,Tamil Nadu,1,2
HTLGBO1000029114,Cinnamon Residency,Bangalore,Karnataka,33,3.8
HTLGBO1000045038,CENTRAL RESIDENCY,Chennai,Tamil Nadu,183,3.9
HTLGBO1000039830,CCR Residency,Tirupati,Andhra Pradesh,,
HTLGBO1000084434,Bull and Bush Resort Satyamangalam,Sathyamangalam,Tamil Nadu,,
HTLGBO1000083698,Bubahut Boutique Resort,Shantiniketan,West Bengal,,
HTLGBO1000075962,Chandra Nivas,Ooty,Tamil Nadu,,
HTLGBO1000018286,Camp lagoon,Naukuchiatal,Uttarakhand,,
HTLGBO1000003010,BigSplash,Alibag,Maharashtra,46,3
HTLGBO1000005347,Casa Legend,Goa,Goa,35,4.5
HTLGBO1000017128,Camp of Dooars,Dooars,West Bengal,,
HTLGBO1000053992,Canaan Lodge,Gangtok,Sikkim,,
HTLGBO1000005485,Casa Bella Vista,Manali,Himachal Pradesh,3,3.3
HTLGBO1000003943,Brigade Royale Premier Business Class Hotel,Bangalore,Karnataka,37,3.2
HTLGBO1000072640,Bulande Hospitality Near Graphite India Signal,Bangalore,Karnataka,,
HTLGBO1000000544,Cidade De Goa,Goa,Goa,48,4.4
HTLGBO1000069538,Chaitanya Niwas,Guhagar,Maharashtra,,
HTLGBO1000051000,Chouki Dhani,Rajkot,Gujarat,,
HTLGBO1000030890,C.M.Sieiro Guest House,Goa,Goa,,
HTLGBO1000009850,Centaur Hotel,Delhi,Delhi,18,2.1
HTLGBO1000073886,chavi Village Resort,Kalimpong,West Bengal,1,5
HTLGBO1000091820,Citi Suites  southcity 1,Gurgaon,Haryana,,
HTLGBO1000006998,Chandana Inn,Guruvayoor,Kerala,24,4.4
HTLGBO1000050054,BLACK STONE HOTEL,Ghaziabad,Uttar Pradesh,,
HTLGBO1000016966,Camp Himaliyan Adventure,Rishikesh,Uttarakhand,1,5
HTLGBO1000050384,Bhakti Sankul Lodge,Tuljapur,Maharashtra,,
HTLGBO1000002849,Blue Ocean Resort &amp; Spa By Apodis,Ganpatipule,Maharashtra,6,3.8
HTLGBO1000010037,Budget Inn Palm Regency,Vapi,Gujarat,91,4.4
HTLGBO1000014790,CAMP THAR,Jodhpur,Rajasthan,25,3.9
HTLGBO1000054344,Check In Room Chuna Mandi,Delhi,Delhi,47,4.2
HTLGBO1000065236,Chonor House,Mcleodganj,Himachal Pradesh,,
HTLGBO1000025522,Chingaara Estate Stay,Coorg,Karnataka,5,5
HTLGBO1000048306,Casa Paradise Resort,Vadodara,Gujarat,,
HTLGBO1000024550,BnB in GK II,Delhi,Delhi,,
HTLGBO1000011170,breathing Stone,Kalimpong,West Bengal,10,3.4
HTLGBO1000001156,Camp Chrysalid Junga,Shimla,Himachal Pradesh,,
HTLGBO1000010273,Bishnoi Village Camp and Resort,Jodhpur,Rajasthan,4,4.2
HTLGBO1000007139,Breeze Residency,Tiruchirappalli,Tamil Nadu,148,3.8
HTLGBO1000046886,Camp Royal Paradise,Jaisalmer,Rajasthan,3,1.3
HTLGBO1000007110,Catalyst- L&amp;T South City,Bangalore,Karnataka,,
HTLGBO1000009662,Christville Homestay,Cochin,Kerala,38,4.6
HTLGBO1000000038,Bluelily Beach Resort,Puri,Orissa,49,4.1
HTLGBO1000010764,Blue Stones Service Apartments,Coimbatore,Tamil Nadu,10,3.1
HTLGBO1000084858,BORIBISTA BACKPACKING HOSTEL,Delhi,Delhi,2,2.8
HTLGBO1000011666,Billoo Palace Houseboat,Srinagar,Jammu and Kashmir,1,4.6
HTLGBO1000030128,Bilberry Hotel,Rewari,Haryana,120,4.2
HTLGBO1000022572,Blue Marine Beach Resort,Goa,Goa,63,3.5
HTLGBO1000002111,Chunda Palace,Udaipur,Rajasthan,21,4.6
HTLGBO1000013345,Callista-1,Gurgaon,Haryana,1,2
HTLGBO1000041576,Chaandhni Lake View,Alleppey,Kerala,,
HTLGBO1000077314,Bijainagar Fort by 1589 Hotels,Ajmer,Rajasthan,,
HTLGBO1000057266,BISHT NIWAS,Kullu,Himachal Pradesh,,
HTLGBO1000025684,Budget Cottages Manali,Manali,Himachal Pradesh,,
HTLGBO1000081276,canal view residency,Alleppey,Kerala,,
HTLGBO1000076252,Cherai Beach Palace,Ernakulam,Kerala,,
HTLGBO1000063876,Breeze Cottage,Ooty,Tamil Nadu,,
HTLGBO1000067922,Casa Amigos Holiday Homes,Goa,Goa,,
HTLGBO1000009585,Cherry Tree,Pune,Maharashtra,17,3.7
HTLGBO1000050876,Central Guest House,Mumbai,Maharashtra,6,2.5
